# Generated 2026-06-21 from Claude workflow wf_9cfa6be0-e24; all rows are selected from the latest verified result when available.
# PT-BR/RU policy: fallback to English for new rows; EN/ZH/JA/ES are the explicit translation columns.
verified	surface	key	ko	placeholders	en	zh	ja	es
True	Defeat chance-gems continue screen	defeat.continue.title	패배		Defeat	失败	敗北	Derrota
True	Defeat chance-gems continue screen	defeat.continue.subtitle	아쉽지만 다음 기회를 노려보세요.		Better luck next time — aim for the next chance.	很遗憾，期待下一次机会吧。	惜しいですが、次のチャンスを狙いましょう。	Lástima, pero busca la próxima oportunidad.
True	Defeat chance-gems continue screen	defeat.continue.guide_default	기회의 보석은 패배 시 1개가 소모됩니다.\n모든 보석이 소모되면 더 이상 도전할 수 없습니다.		One Chance Gem is consumed each time you are defeated.\nWhen all gems are gone, you can no longer challenge.	每次失败会消耗 1 颗机会宝石。\n所有宝石耗尽后，将无法再挑战。	敗北するとチャンスジェムが1個消費されます。\nすべてのジェムが消費されると、これ以上挑戦できません。	Se consume una Gema de Oportunidad cada vez que eres derrotado.\nCuando se agoten todas las gemas, ya no podrás desafiar.
True	Defeat chance-gems continue screen	defeat.continue.guide_last_chance	이번이 마지막 기회입니다.\n다음 패배 시 게임이 종료됩니다.		This is your last chance.\nThe game ends on your next defeat.	这是最后的机会。\n下次失败时游戏将结束。	これが最後のチャンスです。\n次に敗北するとゲームが終了します。	Esta es tu última oportunidad.\nEl juego terminará en tu próxima derrota.
True	Defeat chance-gems continue screen	defeat.continue.confirm_button	확인		Confirm	确认	決定	Confirmar
True	Defeat chance-gems continue screen	defeat.continue.gem_consume_on_confirm	확인하면 기회의 보석이 1개 소모됩니다.	%s	Confirming will consume %s Chance Gem.	确认后将消耗 %s 颗机会宝石。	決定するとチャンスジェムを %s 個消費します。	Al confirmar se consumirá %s Gema de Oportunidad.
True	Defeat chance-gems continue screen	defeat.continue.gem_consumed	기회의 보석이 1개 소모되었습니다.	%s	%s Chance Gem was consumed.	已消耗 %s 颗机会宝石。	チャンスジェムを %s 個消費しました。	Se consumió %s Gema de Oportunidad.
True	Defeat chance-gems continue screen	defeat.continue.gem_count_one	1개		1	1	1個	1
True	Defeat chance-gems continue screen	defeat.continue.gem_trembling	기회의 보석이 흔들립니다...		The Chance Gem trembles...	机会宝石在颤动…	チャンスジェムが揺れています…	La Gema de Oportunidad tiembla...
True	Defeat settlement screen	defeat.settlement.title	도전 종료		Run Over	挑战结束	挑戦終了	Fin del intento
True	Defeat settlement screen	defeat.settlement.subtitle	이번 링피아 여정의 기록입니다		A record of this Lingpia journey	本次林皮亚旅程的记录	今回のリンピア旅路の記録です	Un registro de este viaje por Lingpia
True	Defeat settlement screen	defeat.settlement.stat_gold_acquired	획득 골드		Gold Acquired	获得金币	獲得ゴールド	Oro obtenido
